;Produced by Yue Chen, @LANL, on Oct 24, 2023
;======> All Rights Reserved; Please do not redistribute without author"permission <=====       
;
;Data used as inputs for forecasting models: Low L boudary of >2MeV electrons determined by low Earth orbit satellite POES-15 P6 between 20130220 and 20180630
;Columns: S/N, Time (in days, counted from 20130220 00:00:00), L-bound value
;P6 threshold value = 3.00

;format (I5, 3x, f10.4, f10.2)

  S/N         Time    Lbound
    1       0.0625       NaN
    2       0.1875       NaN
    3       0.3125       NaN
    4       0.4375       NaN
    5       0.5625       NaN
    6       0.6875       NaN
    7       0.8125       NaN
    8       0.9375       NaN
    9       1.0625       NaN
   10       1.1875       NaN
   11       1.3125       NaN
   12       1.4375       NaN
   13       1.5625       NaN
   14       1.6875       NaN
   15       1.8125       NaN
   16       1.9375       NaN
   17       2.0625       NaN
   18       2.1875       NaN
   19       2.3125       NaN
   20       2.4375       NaN
   21       2.5625       NaN
   22       2.6875       NaN
   23       2.8125       NaN
   24       2.9375       NaN
   25       3.0625       NaN
   26       3.1875       NaN
   27       3.3125       NaN
   28       3.4375       NaN
   29       3.5625       NaN
   30       3.6875       NaN
   31       3.8125       NaN
   32       3.9375       NaN
   33       4.0625      4.20
   34       4.1875      4.20
   35       4.3125       NaN
   36       4.4375       NaN
   37       4.5625       NaN
   38       4.6875       NaN
   39       4.8125       NaN
   40       4.9375       NaN
   41       5.0625      4.30
   42       5.1875      4.30
   43       5.3125       NaN
   44       5.4375       NaN
   45       5.5625       NaN
   46       5.6875       NaN
   47       5.8125       NaN
   48       5.9375       NaN
   49       6.0625      4.10
   50       6.1875      4.10
   51       6.3125       NaN
   52       6.4375       NaN
   53       6.5625       NaN
   54       6.6875       NaN
   55       6.8125       NaN
   56       6.9375       NaN
   57       7.0625      4.10
   58       7.1875      4.10
   59       7.3125       NaN
   60       7.4375       NaN
   61       7.5625       NaN
   62       7.6875       NaN
   63       7.8125       NaN
   64       7.9375       NaN
   65       8.0625      4.10
   66       8.1875      4.10
   67       8.3125       NaN
   68       8.4375       NaN
   69       8.5625       NaN
   70       8.6875       NaN
   71       8.8125       NaN
   72       8.9375       NaN
   73       9.0625      4.20
   74       9.1875       NaN
   75       9.3125       NaN
   76       9.4375       NaN
   77       9.5625       NaN
   78       9.6875       NaN
   79       9.8125       NaN
